Date,AAPL
2007-11-05,18.1900
2007-11-06,18.1800
2007-11-07,17.6500
2007-11-08,17.6500
2007-11-09,17.0900
2007-11-12,16.7500
2007-11-13,17.7500
2007-11-14,17.5400
2007-11-15,17.1000
2007-11-16,17.6200
2007-11-19,17.2600
2007-11-20,17.4900
2007-11-21,16.9000
2007-11-23,18.1600
2007-11-26,17.4800
2007-11-27,17.7400
2007-11-28,18.7000
2007-11-29,18.0200
2007-11-30,18.6700
2007-12-03,18.4200
2007-12-04,18.7400
2007-12-05,19.5900
2007-12-06,19.4200
2007-12-07,19.4400
2007-12-10,19.4900
2007-12-11,19.3300
2007-12-12,18.9800
2007-12-13,18.8600
2007-12-14,18.4900
2007-12-17,17.4800
2007-12-18,17.7800
2007-12-19,17.3700
2007-12-20,18.2900
2007-12-21,18.4700
2007-12-24,19.4200
2007-12-26,19.4300
2007-12-27,18.1800
2007-12-28,18.5300
2007-12-31,18.8600
2008-01-02,19.4500
2008-01-03,19.6500
2008-01-04,19.3200
2008-01-07,19.9500
2008-01-08,18.8500
2008-01-09,19.8400
2008-01-10,19.8800
2008-01-11,19.4800
2008-01-14,19.8700
2008-01-15,18.4800
2008-01-16,18.0900
2008-01-17,17.9600
2008-01-18,17.8300
2008-01-22,17.7800
2008-01-23,17.6300
2008-01-24,17.7400
2008-01-25,18.2300
2008-01-28,18.5200
2008-01-29,18.6000
2008-01-30,18.4700
2008-01-31,18.5000
2008-02-01,19.7500
2008-02-04,19.8300
2008-02-05,18.5100
2008-02-06,18.4000
2008-02-07,18.5400
2008-02-08,18.2800
2008-02-11,17.7200
2008-02-12,18.2800
2008-02-13,18.5800
2008-02-14,18.4300
2008-02-15,18.5100
2008-02-19,18.4300
2008-02-20,17.9900
2008-02-21,17.8600
2008-02-22,17.7100
2008-02-25,18.1200
2008-02-26,18.1400
2008-02-27,18.0200
2008-02-28,17.7200
2008-02-29,17.5200
2008-03-03,17.6000
2008-03-04,17.1900
2008-03-05,17.2800
2008-03-06,16.9100
2008-03-07,16.1500
2008-03-10,15.9800
2008-03-11,16.6200
2008-03-12,15.9900
2008-03-13,15.7800
2008-03-14,15.4300
2008-03-17,14.9800
2008-03-18,16.0600
2008-03-19,15.9100
2008-03-20,15.8500
2008-03-24,16.8600
2008-03-25,17.3600
2008-03-26,16.1800
2008-03-27,15.6300
2008-03-28,15.7900
2008-03-31,15.6200
2008-04-01,16.1300
2008-04-02,16.2400
2008-04-03,16.1400
2008-04-04,15.9300
2008-04-07,15.9900
2008-04-08,15.6800
2008-04-09,15.4400
2008-04-10,15.6200
2008-04-11,15.1700
2008-04-14,15.1500
2008-04-15,15.5900
2008-04-16,15.5700
2008-04-17,15.5600
2008-04-18,15.8400
2008-04-21,15.7500
2008-04-22,15.6100
2008-04-23,16.0300
2008-04-24,16.1300
2008-04-25,16.0800
2008-04-28,15.8800
2008-04-29,16.1900
2008-04-30,16.5400
2008-05-01,16.9900
2008-05-02,17.1500
2008-05-05,16.8400
2008-05-06,16.8800
2008-05-07,16.3700
2008-05-08,16.1600
2008-05-09,15.9600
2008-05-12,16.0700
2008-05-13,15.9900
2008-05-14,16.0400
2008-05-15,16.0000
2008-05-16,16.0200
2008-05-19,15.9600
2008-05-20,15.8200
2008-05-21,15.5300
2008-05-22,15.4000
2008-05-23,15.1800
2008-05-27,14.8300
2008-05-28,14.5300
2008-05-29,13.8500
2008-05-30,13.8600
2008-06-02,13.3200
2008-06-03,13.3000
2008-06-04,13.0900
2008-06-05,12.9400
2008-06-06,12.5000
2008-06-09,12.1700
2008-06-10,12.0200
2008-06-11,11.7500
2008-06-12,12.4800
2008-06-13,12.4300
2008-06-16,12.0300
2008-06-17,12.2500
2008-06-18,11.9900
2008-06-19,11.8700
2008-06-20,11.4600
2008-06-23,11.3600
2008-06-24,10.9900
2008-06-25,11.2700
2008-06-26,10.6600
2008-06-27,9.9700
2008-06-30,10.0500
2008-07-01,9.6100
2008-07-02,9.4000
2008-07-03,8.9000
2008-07-07,9.1400
2008-07-08,9.0300
2008-07-09,9.3700
2008-07-10,9.3800
2008-07-11,9.3700
2008-07-14,9.3000
2008-07-15,9.3100
2008-07-16,9.7700
2008-07-17,10.1100
2008-07-18,10.0200
2008-07-21,10.0500
2008-07-22,10.5100
2008-07-23,10.7500
2008-07-24,10.0300
2008-07-25,10.1000
2008-07-28,9.4300
2008-07-29,9.9400
2008-07-30,9.4700
2008-07-31,9.3500
2008-08-01,9.5200
2008-08-04,9.2600
2008-08-05,10.0600
2008-08-06,10.1300
2008-08-07,9.9600
2008-08-08,10.4200
2008-08-11,10.5100
2008-08-12,10.1200
2008-08-13,9.8400
2008-08-14,9.9500
2008-08-15,9.9800
2008-08-18,9.6000
2008-08-19,9.4100
2008-08-20,9.4500
2008-08-21,9.3000
2008-08-22,9.7000
2008-08-25,9.4600
2008-08-26,9.7700
2008-08-27,9.8000
2008-08-28,9.7900
2008-08-29,9.8600
2008-09-02,9.8400
2008-09-03,9.5300
2008-09-04,9.2500
2008-09-05,9.3800
2008-09-08,9.5300
2008-09-09,9.3700
2008-09-10,9.3800
2008-09-11,9.1700
2008-09-12,9.2500
2008-09-15,8.8900
2008-09-16,8.9800
2008-09-17,8.7000
2008-09-18,9.7400
2008-09-19,9.8100
2008-09-22,9.2000
2008-09-23,9.0400
2008-09-24,8.5700
2008-09-25,8.6100
2008-09-26,8.4000
2008-09-29,7.2900
2008-09-30,7.6600
2008-10-01,7.4100
2008-10-02,7.2600
2008-10-03,7.1300
2008-10-06,6.5700
2008-10-07,6.0600
2008-10-08,5.9400
2008-10-09,5.8100
2008-10-10,5.9100
2008-10-13,6.4600
2008-10-14,6.3400
2008-10-15,6.0100
2008-10-16,5.7500
2008-10-17,5.5900
2008-10-20,5.4900
2008-10-21,5.2600
2008-10-22,4.8300
2008-10-23,4.3500
2008-10-24,3.9600
2008-10-27,3.8500
2008-10-28,4.0000
2008-10-29,4.1700
2008-10-30,4.2500
2008-10-31,5.8500
2008-11-03,4.8600
2008-11-04,5.1000
2008-11-05,4.6800
2008-11-06,4.5000
2008-11-07,4.4200
2008-11-10,4.4900
2008-11-11,4.4600
2008-11-12,4.0900
2008-11-13,4.2500
2008-11-14,4.0200
2008-11-17,4.3000
2008-11-18,4.1700
2008-11-19,4.0000
2008-11-20,3.6400
2008-11-21,3.8200
2008-11-24,4.2200
2008-11-25,4.7000
2008-11-26,4.6500
2008-11-28,4.5500
2008-12-01,3.7500
2008-12-02,4.3900
2008-12-03,4.1000
2008-12-04,4.3300
2008-12-05,4.7500
2008-12-08,4.3300
2008-12-09,4.2000
